Grapheme	IPA	Languages	Frequency	Examples
(	?	Lashi	2	dzi⁵²_(tusk)/tsɨ̣⁵²(tooth)
)	?	Lashi	2	dzi⁵²_(tusk)/tsɨ̣⁵²(tooth)
/	ǀ	Lashi	1	dzi⁵²_(tusk)/tsɨ̣⁵²(tooth)
_	+	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	427	ban³¹_dzo³², bau³¹_gjӧ², ba³¹_tʰuk⁵
+	+
.	NULL
a	a	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	483	bak³², bam³¹, ban³²
a:	aː	WrittenBurmese	28	ca:, cʰa:, hma:
ai	ai	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	75	bain⁴, baiɂ³¹, baiɂ⁴¹
ai:	a	WrittenBurmese	9	bai:, hlwai:_mjauk, kwai:
au	au	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	173	au⁵⁴, bau², bau³
au:	aːu	WrittenBurmese	3	mjau:, saŋ_hbau:, tau:
aụ	a	Lashi	1	dʒaụɂ⁵³
aˀ	aˀ	WrittenBurmese	14	hnaˀ, hnaˀ_lum:, kaˀ
ạ	a̰	Maru	2	lạk⁵³, njạp⁵
ại	a̰i	Lashi	2	sạiɂ⁴², ʃo⁵_kʰạiɂ⁵¹
ạụ	a̰u	Maru	3	dzạụɂ⁵³, dzạụ⁴, kjạụɂ⁵³
b	b	Achang, Lashi, Maru, WrittenBurmese, Zaiwa	112	bai:, bain⁴, baiɂ³¹
c	ts	Phon, WrittenBurmese	23	ca:, cauŋ, ceˀ
ch	tsʰ	Phon	2	chiɂ⁵⁵, chi⁵⁵
cw	tsʷ	WrittenBurmese	3	cwai, cwat, lak_cwap
cʰ	tsʰ	Phon, WrittenBurmese	24	cʰa:, cʰai, cʰam
cʰw	c	Phon, WrittenBurmese	2	cʰwat⁵⁵, cʰwe
d	d	Achang, Lashi, Maru, Zaiwa	134	ban³¹_dzo³², bjɔ³_dziŋ⁵, dain³
dʒ	dʒ	Achang, Lashi, Maru, Zaiwa	66	dɔɂ⁵²_dʒɔɂ³, dʒam³, dʒam⁴_tʰa⁴
e	e	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	128	be³², be⁵¹, bje³
e:	eː	WrittenBurmese	18	cʰe:, kʰjai_rwe:, kʰje:
ei	ei	Achang, Lashi, Phon	18	djei³, dʒei³, dʒei³¹
euˀ	euˀ	WrittenBurmese	1	pʰreuˀ
eɪ	eɪ	Phon	1	meɪ³¹
eˀ	eˀ	WrittenBurmese	4	ceˀ, meˀ, neˀ
ẽ	ẽ	Bela, Lashi	3	lẽ²³, nẽ³, njẽɂ⁵³
ẹ	ḛ	Maru	1	lẹɂ⁵⁴
f	f	Bela, Lashi, Maru	5	fak⁵, faɂ⁵², foɂ⁵
g	g	Achang, Lashi, Maru, Phon, Zaiwa	117	bau³¹_gjӧ², da⁴³_gjɔ³², deɂ³¹_gjɔ³
h	h	Achang, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	71	cʰam_hɲap, dʒuŋ⁵²_ha⁵, geɂ⁴²_hok⁵⁴
i	i	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	173	bi³², biŋ³⁴, bi⁴⁵_pjạɂ⁵³
i:	iː	WrittenBurmese	6	hbi:, kri:, mi:
io	i/j o	Lashi	1	ʃioɂ³¹
iɛ	i/j ɛ	Lashi	1	tʃʰiɛ²
iˀ	iˀ	WrittenBurmese	3	miˀ, siˀ
ị	ḭ	Maru	2	nạịɂ⁵⁴, tʃʰi⁴_bịɂ⁵⁴
j	j	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	469	bau³¹_gjӧ², bi⁴⁵_pjạɂ⁵³, bjaŋ³⁴
jw	dʒʷ	WrittenBurmese	2	kʰjwe:
k	k	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	240	bak³², ba³¹_tʰuk⁵, bje³¹_kjụ⁵
kw	kʷ	WrittenBurmese	1	kwai:
kʰ	kʰ	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	158	gjɛm⁵³_kʰau³², jaŋ³_kʰoŋ⁵, jaŋ³_kʰuŋ⁵
kʰw	k	WrittenBurmese	3	kʰwai:, kʰwam, kʰwe:
l	l	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	192	baŋ²³_lai³², baŋ³_lai³², baŋ³_lai³¹
lw	lʷ	WrittenBurmese	1	hlwai:_mjauk
m	m	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	405	bam³¹, bum³¹, buɔm³¹
m:	mː/m	WrittenBurmese	10	hnaˀ_lum:, kam:_rak, kʰa_ram:
mw	m w	WrittenBurmese	2	mwat, mwe:_ɂə
mˀ	mˀ	WrittenBurmese	4	hrwamˀ, nimˀ, tʰumˀ
mˀ:	mˀː/mˀ	WrittenBurmese	1	namˀ:
n	n	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	314	bain⁴, ban³², ban³¹
n:	nː/n	WrittenBurmese	8	han:, hbin:, nan:
nw	n w	WrittenBurmese	1	nwa:
o	o	Achang, Bela, Lashi, Maru, Phon	154	ban³¹_dzo³², bo³, bo³⁴
oa	oa	Achang	1	tʃʰoap⁵¹
oe	oe	Lashi	2	boeɂ³, soe³
