Grapheme	IPA	Languages	Frequency	Examples
oi	oi	Lashi, Maru	11	bə³_loiɂ³², dʒoiɂ⁵, hø⁵_soin⁴²_pʰju²¹
oo	oː	Lashi	1	dzi⁵²_(tusk)/tsɨ̣⁵²(tooth)
ọ	o̰	Lashi, Maru	7	dam³_tọk⁵⁴, jọk⁵_na⁴³, kjọɂ⁵³
ọị	o̰i	Lashi	1	haŋ⁴_ŋọị³¹
p	p	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	161	bap³⁴, bi⁴⁵_pjạɂ⁵³, buɔp³¹
pʰ	pʰ	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	61	hau³_pʰju⁵¹, hu³_sʊn⁵⁴_pʰju⁵¹, hø⁵_soin⁴²_pʰju²¹
pʰw	p	WrittenBurmese	1	pʰwai:
r	r	Phon, WrittenBurmese	53	cʰi_mre, hmra:, hrac
rw	r w	WrittenBurmese	7	hrwamˀ, hrwe, krwat
s	s	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	112	dzi⁵²_(tusk)/tsɨ̣⁵²(tooth), hu³_sʊn⁵⁴_pʰju⁵¹, hu⁵_son³
sw	s w	WrittenBurmese	5	swa:, swan, swe:
sʰ	sʰ	Bela, Phon	9	mi⁵²_sʰa²³, sʰa³¹, sʰi³¹
t	t	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	154	bat³¹, bət³, bə⁴_lɔt⁴³
th	tʰ	Lashi	1	dzi⁵²_(tusk)/tsɨ̣⁵²(tooth)
ts	ts	Achang, Bela, Lashi, Maru, Zaiwa	20	dzi⁵²_(tusk)/tsɨ̣⁵²(tooth), mja²³_tsi²³, tsain⁴
tsʰ	tsʰ	Achang, Bela, Lashi, Maru, Zaiwa	39	tsʰam³, tsʰam⁴¹, tsʰam⁵³
tw	t w	WrittenBurmese	2	twa:, twan:
tʃ	tʃ	Lashi	1	tʃụɛ̣m⁴¹
tʃʰ	tʃʰ	Achang, Bela, Lashi, Maru, Zaiwa	77	bjeŋ⁵³_tʃʰaŋ⁵, bjɪn²¹_tʃʰa², djɛn³¹_tʃʰaŋ⁵
tʰ	tʰ	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	76	ba³¹_tʰuk⁵, ba³¹_tʰɔɂ⁵, bui⁴²_tʰuɂ⁵⁴
tʰw	t	Phon	1	tʰwi
u	u	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	223	ba³¹_tʰuk⁵, bju³, bju³¹
u:	uː	WrittenBurmese	3	cʰu:, tu:, ɂu:_hnauk
ua	u/w a	Achang, Lashi	10	bua³¹, duam³, duan³
ue	u/w e	Achang, Lashi, Phon	10	bue⁵³_loɂ³², duen³, dʒueɂ⁵³_joŋ³
ui	u/w i	Achang, Bela, Phon, WrittenBurmese, Zaiwa	64	bui³, bui³², bui⁴²_tʰuɂ⁵⁴
ui:	u/w iː	WrittenBurmese	15	cʰui:, cʰui:_ma, hɲui:
uiˀ	u/w iˀ	WrittenBurmese	1	nuiˀ
uĩ	u/w ĩ	Bela	1	xuĩ³_tau⁵²
uɔ	u/w ɔ	Achang	2	buɔm³¹, buɔp³¹
uɛ	u/w ɛ	Achang, Lashi	6	buɛp², duɛm³²_deɂ³², dʒuɛp⁴²
uˀ	uˀ	WrittenBurmese	5	hmuˀ, luˀ, nuˀ
ũɛ̃	u/w ɛ̃	Lashi	1	njũɛ̃m³²
v	v	Bela, Maru, Phon, Zaiwa	12	vam³¹, vap⁵, ve³
vʷ	v w	Bela, Maru	2	vʷa⁵², vʷe³⁴_mọ̈ɂ⁵⁴
w	w	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	60	kan³²_wɔɂ³, lạị⁵³_wi³, mjup³⁴_waŋ³¹
x	x	Achang, Bela, Maru, Phon	15	xam³, xaŋ²³, xaŋ³
xw	x w	Phon	1	xwai
yau	y/j	WrittenBurmese	1	kʰyauŋ:
z	z	Achang, Lashi, Maru, Phon, Zaiwa	53	ban³¹_dzo³², bjɔ³_dziŋ⁵, dzan⁴²
²	²	Achang, Lashi, Maru, Zaiwa	61	bau², bau³¹_gjӧ², bjɔ²
²³	²³	Bela, Lashi, Maru	69	baŋ²³_lai³², jə²³_ɂaŋ³, jɛm²³_bɔ⁵¹
²¹	²¹	Achang, Lashi, Maru, Zaiwa	18	baɂ²¹, bjɪn²¹_tʃʰa², dʒaŋ³²_gɔŋ²¹
²⁴	²⁴	Lashi, Maru	3	kʰa²⁴_næ̣p⁴², mjoɂ²⁴, ŋãɪ²⁴
²⁵	²⁵	Achang, Lashi, Maru	4	jɪn⁵³_ɂai²⁵, la²⁵_na⁵², mau²⁵_dzöi⁵
³	³	Achang, Bela, Lashi, Maru, Zaiwa	406	bau³, baŋ³_lai³², baŋ³_lai³¹
³²	³²	Achang, Lashi, Maru, Zaiwa	168	bak³², ban³², ban³¹_dzo³²
³²³	³²³	Lashi	1	kʰjau³²³
³¹	³¹	Achang, Lashi, Maru, Phon, Zaiwa	326	baiɂ³¹, bam³¹, ban³¹
³⁴	³⁴	Achang, Lashi, Maru, Zaiwa	32	bap³⁴, biŋ³⁴, bjaŋ³⁴
³⁴³	³⁴³	Maru	1	ma³⁴³
³⁵	³⁵	Achang, Lashi, Maru, Zaiwa	17	bo³⁵, gauŋ³_ɣi³⁵, mau³⁵_ɂa³
ã	ã	Bela, Lashi	3	mjãŋ³², nã³, wãŋ³
ãɪ	ãɪ	Lashi	6	bãɪ⁵¹, nãɪ⁴, tʰãɪ²
æ	æ	Achang, Lashi, Maru, Zaiwa	24	dʒjæp⁴², dʒæm⁵⁴, dʒæp⁵³
æu	æu	Achang, Maru	15	de³_jæuɂ⁴², gjæuɂ⁴³, hjæu⁵_gjɔ⁴¹
æ̃	æ̃	Lashi	2	njæ̃m⁵⁴, ŋæ̃p⁵³
æ̣	æ̰	Achang, Bela, Lashi	15	gau³⁴_njæ̣ụɂ⁵², jæ̣m³, jæ̣m⁴
õ	õ	Bela, Lashi	5	lõ⁵², mjõ³⁵_ʃɔɂ⁵³, nõŋ⁵
ö	ö/ø	Maru	6	döi⁵, kʰö⁵, mau²⁵_dzöi⁵
ọ̈	ö/ø	Maru	1	vʷe³⁴_mọ̈ɂ⁵⁴
ø	ø	Lashi	10	bø⁵³_tʰuɂ⁵², døm³¹, dʒøm³²
ø̃	ø̃	Lashi	1	wə⁵_lø̃m⁵¹
ø̣	ø	Lashi	1	jø̣p³_paŋ⁵³
ā	aː	Bela	1	tsāŋ³
ạ̄	a̰ː	Bela	1	kạ̄⁵²
ē	eː	Lashi	3	jēŋ⁴, mjēŋ⁵, njē⁵
ŋ	ŋ	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	387	bauŋ³¹, baŋ²³_lai³², baŋ³_lai³²
ŋ:	ŋː/ŋ	WrittenBurmese	20	hnaŋ:, kauŋ:, kaŋ:_kauk
ŋw	ŋ w	Bela, WrittenBurmese	2	ŋwe, ŋwɛ̣ɂ
ŋˀ	ŋˀ	WrittenBurmese	1	cʰauŋˀ
ũ	ũ	Lashi	4	lạŋ³⁴_mjũ⁴¹, mjũ³, nũ³
ɂ	ʔ	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	409	baiɂ³¹, baiɂ⁴¹, ba³¹_tʰɔɂ⁵
ɔ	ɔ	Achang, Bela, Lashi, Maru, Phon, Zaiwa	214	ba³¹_tʰɔɂ⁵, bjɔ², bjɔ³
ɔə	ɔə	Achang	1	mɔət⁴¹
ɔ̃	ɔ̃	Achang, Lashi	11	gɛn³²_nɔ̃ɂ³, mjɔ̃³, mjɔ̃ɂ⁴
ɔ̣	ɔ̰	Achang, Lashi, Maru, Zaiwa	25	djɔ̣³, dʒɔ̣p⁵³, gain³_jɔ̣ɂ³
ə	ə	Achang, Bela, Lashi, Maru, Phon, WrittenBurmese, Zaiwa	101	bjəŋ⁴, bək², bət³
ə̣	ə̰	Achang, Lashi	3	dʒə̣³, lə̣ŋ³², nụə̣t⁵⁴
ɛ	ɛ	Achang, Bela, Lashi, Maru, Phon, Zaiwa	70	bɛm⁵¹, bɛ³, djɛn³¹_tʃʰaŋ⁵
ɛɪ	ɛɪ	Phon	1	ʃɛɪ³¹
ɛ̣	ɛ̰	Achang, Bela, Lashi, Maru, Zaiwa	13	dɔ³⁴_mjɛ̣ɂ⁵², dʒɛ̣t⁵, gjɛ̣³
ɣ	ɣ	Bela, Lashi, Maru	21	gauŋ³_ɣi³⁵, gɪn⁴_ɣoɂ³², lạ³¹_ɣit²
ɨ	ɨ	Achang, Lashi	10	dɨ⁵⁴, kʰjɨŋ⁵⁴, kọk⁵⁴_sɨ⁵
ɨu	ɨu	Achang	5	dɨu⁴³, tsʰɨu³, tʰjɨu³
ɨ̣	ɨ̰	Achang, Lashi	3	dzi⁵²_(tusk)/tsɨ̣⁵²(tooth), lɨ̣ụ³, wɨ̣ɂ⁵³
ɪ	ɪ	Lashi, Maru, Zaiwa	37	bjɪn²¹_tʃʰa², dzɪn³¹, dɪn⁴
ɪ̣	ɪ̰	Zaiwa	4	dʒɪ̣t⁵, njɪ̣t⁵, nɪ̣k⁵_lum³¹
ɯ	ɯ	Zaiwa	2	hɯŋ⁴³, hɯŋ⁵³
ɯ̃	ɯ̃	Lashi	1	la²_mɯ̃⁵²
ɲ	ɲ	Phon, WrittenBurmese	13	cʰam_hɲap, hraɲ, hɲui:
ɲ:	ɲː/ɲ	WrittenBurmese	3	saɲ:, taɲ:
ɲˀ	ɲˀ	WrittenBurmese	2	praɲˀ, ɲaɲˀ
ɹ	ɹ	Lashi, Phon, Zaiwa	13	dzɔ⁴⁵_ɹɛ⁵³, kʰə_ɹi³¹, kʰɹuŋ³_dzau³²
ʃ	ʃ	Achang, Bela, Lashi, Maru, Phon, Zaiwa	93	dɔɂ⁵_ʃam⁵⁴, dʒi⁴_ʃɪ³, mi³¹_ʃɔ⁴³
ʃw	ʃ w	Phon	4	ʃwaiɂ³¹, ʃwa⁵⁵, ʃwe³¹_pʰju⁵⁵
ʃʰ	ʃʰ	Bela	3	ʃʰa⁵², ʃʰu, ʃʰị²³
ʊ	ʊ	Achang, Maru, Phon, Zaiwa	23	bʊp³, hu³_sʊn⁵⁴_pʰju⁵¹, hʊn⁵⁵
ʊ̣	ʊ̰	Zaiwa	5	nʊ̣t⁵, nʊ̣t⁵_mui³¹, ɂʊ̣t⁵
ʒ	ʒ	Maru	1	ʒit³⁵
βʷ	β w	Zaiwa	6	βʷam³_dau³¹, βʷi³, βʷi⁴
ӧ	ö/œ	Maru	4	bau³¹_gjӧ², dzӧi³¹, lӧi³
ạ	a̰	Achang, Bela, Lashi, Maru, Zaiwa	101	bi⁴⁵_pjạɂ⁵³, dʒạm³¹, dʒạp⁵⁴
ẹ	ḛ	Achang, Bela, Lashi, Maru	27	bẹtɂ⁵⁴, dʒoŋ⁵¹_mjẹ⁵³, jẹn³
ẽ	ẽ	Bela, Lashi	2	gjẽŋ³², pʰə³_lẽ³
ị	ḭ	Achang, Bela, Lashi, Maru, Zaiwa	42	dụị⁵, jɪp²_mị⁴², jẹị⁵
ọ	o̰	Achang, Bela, Lashi, Maru	22	dzọŋ³, dzọŋ³², kọk⁵³
ụ	ṵ	Achang, Bela, Lashi, Maru, Zaiwa	53	bje³¹_kjụ⁵, dʒụn⁵, dʒụạt⁵⁴
ụ̃	ṵ̃	Bela	1	mjụ̃³
⁴	⁴	Achang, Lashi, Maru, Zaiwa	103	bain⁴, bjəŋ⁴, bɔ⁴
⁴²	⁴²	Achang, Lashi, Maru, Zaiwa	57	bui⁴²_tʰuɂ⁵⁴, daut⁴², de³_jæuɂ⁴²
⁴³	⁴³	Achang, Lashi, Maru, Zaiwa	63	bə⁴_lɔt⁴³, daŋ⁴³, da⁴³_gjɔ³²
⁴¹	⁴¹	Achang, Lashi, Maru	21	baiɂ⁴¹, dauŋ⁴¹, gɪn⁴¹
⁴⁵	⁴⁵	Achang, Lashi, Maru, Zaiwa	24	bi⁴⁵_pjạɂ⁵³, dzɔ⁴⁵, dzɔ⁴⁵_ɹɛ⁵³
⁵	⁵	Achang, Lashi, Maru, Zaiwa	207	ba³¹_tʰuk⁵, ba³¹_tʰɔɂ⁵, bi⁵
⁵²	⁵²	Achang, Bela, Lashi, Maru, Zaiwa	113	bø⁵³_tʰuɂ⁵², dzi⁵²_(tusk)/tsɨ̣⁵²(tooth), dɔ³⁴_mjɛ̣ɂ⁵²
⁵³	⁵³	Achang, Lashi, Maru, Zaiwa	189	bi⁴⁵_pjạɂ⁵³, bi⁵³, bjeŋ⁵³_tʃʰaŋ⁵
⁵¹	⁵¹	Achang, Lashi, Maru, Zaiwa	38	be⁵¹, bju⁵¹, bãɪ⁵¹
⁵⁴	⁵⁴	Achang, Lashi, Maru, Zaiwa	121	-⁵⁴, au⁵⁴, bui⁴²_tʰuɂ⁵⁴
⁵⁵	⁵⁵	Phon	64	chiɂ⁵⁵, chi⁵⁵, ci⁵⁵
