ID,Name,Concepticon_ID,Concepticon_Gloss,Number
1_sky,sky,1732,SKY,1
2_sun,sun,1343,SUN,2
3_moon,moon,1313,MOON,3
4_star,star,1430,STAR,4
5_cloud,cloud,1489,CLOUD,5
6_mist,mist,249,FOG,6
7_rain,rain,658,RAIN (PRECIPITATION),7
8_rainbow,rainbow,1733,RAINBOW,8
9_lightning,lightning,1654,LIGHTNING,9
10_thunder,thunder,1150,THUNDER,10
11_shadow,shadow,1388,SHADE,11
12_night,night,1233,NIGHT,12
13_day,day,1225,DAY (NOT NIGHT),13
14_morning,morning,1339,MORNING,14
15_noon,noon,12,MIDDAY,15
16_yesterday,yesterday,1174,YESTERDAY,16
17_tomorrow,tomorrow,1329,TOMORROW,17
18_year,year,1226,YEAR,18
19_east,east,1877,EAST,19
20_west,west,1817,WEST,20
21_north,north,1598,NORTH,21
22_south,south,1595,SOUTH,22
23_water,water,948,WATER,23
24_river,river,666,RIVER,24
25_sea,sea,1474,SEA,25
26_earthorsoil,earth or soil,1228,EARTH (SOIL),26
27_mud,mud,640,MUD,27
28_dust,dust,2,DUST,28
29_stone,stone,857,STONE,29
30_sand,sand,671,SAND,30
31_limebetel,lime (betel),,,31
32_gold,gold,1369,GOLD,32
33_silver,silver,759,SILVER,33
34_iron,iron,621,IRON,34
35_mountain,mountain,639,MOUNTAIN,35
36_cave,cave,1155,CAVE,36
37_forest,forest,420,FOREST,37
38_tree,tree,906,TREE,38
39_branch,branch,1531,BRANCH,39
40_bark,bark,1204,BARK,40
41_thorn,thorn,124,THORN,41
42_root,root,670,ROOT,42
43_leaf,leaf,628,LEAF,43
44_flower,flower,239,FLOWER,44
45_fruit,fruit,1507,FRUIT,45
46_seed,seed,714,SEED,46
47_grass,grass,606,GRASS,47
48_bamboo,bamboo,1927,BAMBOO,48
49_bambooshoot,bamboo shoot,2494,BAMBOO SHOOT,49
50_mushroom,mushroom,641,MUSHROOM,50
51_rattan,rattan,2497,RATTAN,51
52_kapok,kapok,2499,KAPOK TREE,52
53_sugarcane,sugar cane,146,SUGAR CANE,53
54_betelnut,betel nut,217,BETELNUT,54
55_opium,opium,2498,OPIUM,55
56_liquor,liquor,842,LIQUOR,56
57_banana,banana,868,BANANA,57
58_papaya,papaya,2445,PAPAYA,58
61_coconut,coconut,970,COCONUT,61
62_eggplant,eggplant,1146,AUBERGINE,62
63_peanut,peanut,595,GROUNDNUT (PEANUT),63
64_ginger,ginger,2500,GINGER,64
65_garlic,garlic,2368,GARLIC,65
66_redpepper,red pepper,919,CHILI PEPPER,66
67_corn,corn,506,MAIZE,67
68_paddyrice,paddy rice,2026,RICE PLANT,68
69_cookedrice,cooked rice,1191,COOKED RICE,69
70_ricehusk,rice husk,2501,RICE HUSK,70
71_salt,salt,1274,SALT,71
72_animal,animal,619,ANIMAL,72
73_tiger,tiger,846,TIGER,73
74_bear,bear,1820,BEAR,74
75_deer,deer,1936,DEER,75
76_monkey,monkey,1350,MONKEY,76
77_gibbon,gibbon,2511,GIBBON,77
79_porcupine,porcupine,2510,PORCUPINE,79
80_rat,rat,1490,RAT,80
81_dog,dog,2009,DOG,81
82_bark,bark,1206,BARKING,82
83_bite,bite,1403,BITE,83
85_pig,pig,1337,PIG,85
86_cow,cow,1007,COW,86
87_milk,milk,635,MILK,87
88_buffalo,buffalo,934,BUFFALO,88
89_buffalohorn,buffalo horn,1393,HORN (ANATOMY),89
90_tail,tail,1220,TAIL,90
91_elephant,elephant,1290,ELEPHANT,91
92_elephanttusk,elephant tusk,2495,ELEPHANT TUSK,92
93_bird,bird,937,BIRD,93
94_birdnest,bird nest,3549,BIRD NEST,94
95_wing,wing,1257,WING,95
96_feather,feather,1201,FEATHER,96
97_fly,fly,1441,FLY (MOVE THROUGH AIR),97
98_egg,egg,744,EGG,98
99_chicken,chicken,1318,CHICKEN,99
100_duck,duck,1360,DUCK,100
101_fish,fish,227,FISH,101
102_snake,snake,730,SNAKE,102
103_houselizard,house lizard,632,LIZARD,103
105_crocodile,crocodile,1857,CROCODILE,105
106_frog,frog,503,FROG,106
107_insect,insect,620,INSECT,107
108_spider,spider,843,SPIDER,108
109_spiderweb,spider web,1065,SPIDER WEB,109
110_louse,louse,1392,LOUSE,110
111_termite,termite,883,TERMITE,111
112_cockroach,cockroach,1575,COCKROACH,112
113_snail,snail,1543,SNAIL,113
114_mosquito,mosquito,1509,MOSQUITO,114
115_bee,bee,665,BEE,115
116_flyinsect,fly (insect),1504,FLY (INSECT),116
117_butterfly,butterfly,1791,BUTTERFLY,117
118_scorpion,scorpion,1538,SCORPION,118
119_head,head,1256,HEAD,119
120_face,face,1560,FACE,120
121_brain,brain,1583,BRAIN,121
122_hair,hair,1040,HAIR,122
123_forehead,forehead,123,FOREHEAD,123
124_eyebrow,eyebrow,1173,EYEBROW,124
125_eye,eye,1248,EYE,125
126_eyelid,eyelid,17,EYELID,126
127_nose,nose,1221,NOSE,127
128_cheek,cheek,1730,CHEEK,128
129_ear,ear,1247,EAR,129
130_mouth,mouth,674,MOUTH,130
131_tongue,tongue,1205,TONGUE,131
132_saliva,saliva,1503,SALIVA,132
133_tooth,tooth,1380,TOOTH,133
134_gums,gums,139,GUMS,134
135_chin,chin,1510,CHIN,135
136_beard,beard,678,BEARD,136
137_shavebeard,shave (beard),231,SHAVE,137
138_back,back,1291,BACK,138
139_abdomen,abdomen,1251,BELLY,139
140_navel,navel,1838,NAVEL,140
141_heart,heart,1223,HEART,141
142_lungs,lungs,688,LUNG,142
143_liver,liver,1224,LIVER,143
144_intestines,intestines,1991,INTESTINES,144
145_hand,hand,1277,HAND,145
146_elbow,elbow,981,ELBOW,146
147_armpit,armpit,1886,ARMPIT,147
149_finger,finger,1303,FINGER,149
150_nail,nail,1896,FINGERNAIL OR TOENAIL,150
151_buttocks,buttocks,834,BUTTOCKS,151
153_thigh,thigh,471,UPPER LEG (THIGH),153
154_knee,knee,1371,KNEE,154
155_calf,calf,1989,CALF,155
156_shin,shin,186,SHIN,156
157_foot,foot,1301,FOOT,157
158_heel,heel,980,HEEL,158
159_bone,bone,1394,BONE,159
160_rib,rib,801,RIB,160
161_flesh,flesh,2259,FLESH,161
162_fat,fat,323,FAT (ORGANIC SUBSTANCE),162
163_skin,skin,763,SKIN,163
164_blood,blood,946,BLOOD,164
165_sweat,sweat,2458,PERSPIRE OR SWEAT,165
166_pus,pus,1808,PUS,166
167_excrement,excrement,675,FAECES (EXCREMENT),167
168_urine,urine,1142,URINE,168
169_man,man,1554,MAN,169
170_woman,woman,962,WOMAN,170
171_person,person,683,PERSON,171
172_father,father,1217,FATHER,172
173_mother,mother,1216,MOTHER,173
174_child,child,2099,CHILD,174
175_soninlaw,son-in-law,1056,SON-IN-LAW,175
176_husband,husband,1200,HUSBAND,176
177_wife,wife,1199,WIFE,177
178_widow,widow,1756,WIDOW,178
179_eldersibling,elder sibling,405,OLDER SIBLING,179
180_youngersibling,younger sibling,427,YOUNGER SIBLING,180
181_friend,friend,1325,FRIEND,181
182_name,name,1405,NAME,182
183_village,village,930,VILLAGE,183
184_roadorpath,road or path,667,ROAD,184
185_boat,boat,1844,BOAT,185
186_house,house,1252,HOUSE,186
187_door,door,1567,DOOR,187
188_window,window,1375,WINDOW,188
